user_id,location_id,x,y,distance,Rx_power
50,51,88.73,8.82,10.9446038302,-97.2
52,53,91.44,8.82,12.5885786727,-96.96666667
53,54,92.55,8.82,13.3625923009,-96.1
54,55,92.55,10.03,12.5513478559,-92.53333333
55,56,89.69,10.03,10.5255295829,-101.3
56,57,87.62,10.03,9.335719201,-97.56666667
57,58,92.39,7.9,13.9088170956,-103.6333333
58,59,88.58,7.9,11.6625740298,-101.8333333
59,60,84.44,9.73,8.5139281768,-88.8
60,61,84.6,7.9,10.3449191877,-94.66666667
61,62,84.44,3.5,14.6880765589,-97.4
62,63,85.87,3.5,14.9014923078,-99.56666667
63,64,85.71,4.71,13.6838508104,-98.16666667
64,65,87.3,3.5,15.2466111972,-102.4666667
65,66,88.89,3.5,15.7743397009,-105.6333333
66,67,86.83,4.71,13.9531821819,-101.3666667
67,68,81.58,3.34,14.7106993036,-99.43333333
68,69,80.47,3.34,13.7875913052,-101.7666667
69,70,79.19,3.34,12.7601282909,-103.9
71,72,76.33,3.34,10.6637082668,-106.7333333
72,73,75.06,3.5,9.7287837883,-103.2333333
73,"74""",79.35,2.13,13.6620025619,-105.6333333
74,"75""",77.76,2.28,12.4140772512,-103.8
76,74,74.26,3.5,9.2667812103,-103.4
78,76,74.26,5.47,7.6961648891,-97.16666667
79,77,74.9,5.02,8.4587915213,-97.7
80,78,74.9,4.26,9.0329283181,-93.63333333
81,79,76.33,4.26,10.0006096814,-104.9333333
82,80,76.33,5.17,9.3874359652,-108.5
83,81,72.99,3.5,8.6354058388,-92.63333333
84,82,71.72,4.26,7.4360738297,-97.2
85,83,71.88,3.5,8.205670844,-100.3
86,84,70.77,3.5,7.9094901226,-96.3
87,85,69.49,3.5,7.7534014471,-94.46666667
88,86,69.49,4.1,7.1539383559,-94.86666667
89,87,69.33,5.02,6.2289288004,-92.1
90,88,70.77,5.17,6.2828300948,-91.7
92,90,71.72,5.02,6.7270018582,-97
93,91,73.15,5.17,7.2615806819,-97.5
94,92,73.15,4.41,7.9085519534,-96.83333333
95,93,68.54,3.5,7.772981024,-101.9666667
96,94,67.58,3.5,7.9094901226,-103.1
98,96,65.04,3.5,8.7814710613,-106.5
99,97,63.93,3.5,9.3555349393,-106.1666667
100,98,64.09,2.74,9.9109169102,-122.2666667
101,99,64.25,1.37,11.0367909285,-123.4
103,101,62.34,0.15,13.0330592725,-129.1333333
104,102,60.59,0.15,14.0301687089,-129.9
105,103,60.59,1.37,13.0865333072,-125.0333333
106,104,60.59,2.58,12.1991439864,-128.7666667
107,105,62.34,2.58,11.0378491564,-130
108,106,64.25,0.3,12.0038507988,-131.6333333
109,107,64.25,4.71,8.1846193558,-103.4666667
110,108,66.31,4.71,7.1372679647,-101.6666667
111,109,65.04,4.71,7.7350238526,-105.1333333
112,110,68.06,4.71,6.6314096541,-105.9
113,111,69.97,6.38,4.9315022052,-90.23333333
114,112,69.97,7.45,3.8793342212,-89.2
115,113,69.81,8.66,2.6637931601,-82.86666667
116,114,69.97,10.49,1.0977586256,-81.9
118,116,72.2,8.36,4.1815540174,-89.26666667
119,117,74.42,8.36,5.9870521962,-97.93333333
120,118,76.33,8.51,7.6606262146,-99.23333333
121,119,78.56,8.51,9.775960004,-93
122,120,80.31,8.36,10.102240989,-90.63333333
123,121,80.47,9.58,8.8842868594,-90.9
124,122,80.47,6.99,11.3944904669,-91.33333333
125,123,78.72,6.99,10.4512714059,-96.7
126,124,77.76,9.27,8.8096965896,-95.46666667
127,125,73.63,9.27,4.8739669675,-90.3
128,126,71.08,9.42,2.6394988161,-87.1
129,127,71.08,7.14,4.5273031708,-92.76666667
130,128,67.74,6.38,5.0741417008,-94.86666667
131,129,66.31,7.9,4.4057501064,-91.63333333
132,130,65.36,6.69,5.9431030615,-98.43333333
133,131,66.15,8.97,3.7862057525,-93.16666667
134,132,63.45,6.38,7.5142074765,-102.3333333
135,133,62.81,6.99,7.6573673022,-95.4
136,134,62.66,8.82,6.9523775789,-102.8333333
138,136,60.91,6.69,9.4380333757,-105.2333333
