user_id,location_id,x,y,serving_cell_id,Rx_power
176,174,72.51,18.39,5,-87.93333333
177,175,72.51,16.72,5,-90.36666667
179,177,72.51,13.68,3,-84.36666667
180,178,74.42,13.98,3,-93.86666667
181,179,74.26,15.35,3,-95.33333333
182,180,74.26,16.87,3,-91.26666667
183,181,74.26,18.24,5,-91.13333333
184,182,94.94,11.85,3,-99.43333333
185,183,94.94,10.49,3,-113.7666667
186,184,97,10.64,3,-112.1666667
187,185,97,11.7,3,-98.3
188,186,97,13.98,5,-113.2666667
190,188,94.78,15.35,5,-115.9
191,189,94.78,13.68,5,-110.4
192,190,98.91,15.96,5,-119.6333333
193,191,102.25,16.11,5,-127.7
194,192,102.25,17.48,5,-127.9333333
195,193,100.03,19.15,5,-125.5333333
196,194,99.07,17.63,5,-127.9333333
197,195,98.91,14.44,5,-118.8333333
198,196,101.93,14.44,5,-126.8
199,1,54.86,20.06,2,-84.23333333
200,2,52.48,20.06,2,-73.3
201,3,49.46,20.37,2,-80.06666667
202,4,49.46,17.78,2,-76.56666667
203,5,52.64,17.93,2,-71.83333333
204,6,54.7,17.78,2,-88.66666667
205,7,54.7,15.05,2,-89.13333333
206,8,52.48,15.05,2,-79.93333333
207,9,49.62,15.05,2,-82.96666667
208,10,54.7,11.85,2,-94
210,12,49.14,11.85,2,-92.46666667
211,13,47.23,11.7,3,-103.3666667
212,14,45.48,11.85,1,-102.0666667
213,15,43.1,11.85,1,-99.43333333
214,16,40.71,11.85,1,-95.6
215,17,37.37,11.85,1,-99.83333333
216,18,33.24,11.85,1,-97.3
217,19,29.26,11.85,1,-87.23333333
219,21,27.51,9.42,1,-95.76666667
220,22,27.51,7.14,1,-98.03333333
221,23,27.51,5.62,1,-98
223,25,29.26,4.1,1,-98.83333333
224,26,31.65,4.1,1,-104.4
226,28,31.65,7.45,1,-104.5666667
227,29,34.67,4.1,1,-128.7
228,30,35.3,6.99,1,-110.3333333
229,31,37.85,3.95,1,-128.2666667
230,32,40.71,4.1,1,-130
231,33,39.44,5.78,1,-135.4666667
232,34,39.28,7.3,1,-116.7
233,35,37.85,2.74,1,-117.6333333
234,36,26.08,4.1,1,-100.3
235,37,23.54,4.1,1,-103.8333333
236,38,24.17,6.08,1,-96.5
237,39,21.79,4.26,1,-98.56666667
238,40,20.51,5.62,1,-94.53333333
239,41,20.51,7.3,1,-88.56666667
241,43,20.51,10.49,1,-89.86666667
242,44,22.1,7.9,1,-89.7
244,46,26.08,7.9,1,-87.1
245,47,26.08,9.42,1,-82.7
246,48,23.54,9.42,1,-79.36666667
247,49,22.26,9.42,1,-84.9
248,50,17.81,3.95,1,-99.5
249,51,16.06,4.26,1,-104.5333333
250,52,13.2,4.1,1,-125.9666667
252,54,11.13,1.22,1,-119.5333333
253,55,13.2,1.22,1,-121.0666667
254,56,13.99,6.69,1,-126.7
256,58,12.4,7.9,1,-124.8666667
257,59,16.38,5.62,1,-129.6666667
258,60,16.38,8.97,1,-93.36666667
259,61,18.76,8.82,1,-87.6
260,62,24.17,11.7,1,-67.53333333
261,63,20.51,11.7,1,-80.96666667
262,64,17.81,11.85,1,-84.46666667
263,65,14.79,11.7,1,-94.36666667
265,67,19.56,13.83,1,-92.06666667
266,68,19.4,15.96,1,-93.13333333
267,69,19.56,17.78,1,-97.86666667
269,71,17.81,19.45,1,-104.7
270,72,17.81,20.97,1,-104.1333333
271,73,17.81,22.49,1,-110.9333333
272,74,17.81,23.71,1,-107.8333333
273,75,15.74,23.71,1,-107.0666667
274,76,15.9,18.69,1,-98.66666667
275,77,14.63,19.61,1,-103.7666667
277,79,12.4,20.97,1,-105.9666667
278,80,12.09,22.95,1,-112.6666667
