id,x,y,serving id,serving Rx,neighbor id,neighbor Rx
124,24.4010101455,13.4938687562,0,-84.0886583517,1,-105.335821801
125,15.15831837,2.97545890614,0,-99.7951296195,1,-107.972708491
126,32.2242862841,23.6716713513,0,-100.447338026,1,-103.040531264
127,30.4973394369,8.28837252522,0,-95.4686951583,1,-104.071977104
128,95.5197536867,20.3938576013,5,-94.0936222826,4,-99.7338631865
129,43.1219752453,24.1009274856,1,-98.1803356059,0,-103.82864537
130,62.0454631744,9.47129510356,2,-95.6721572763,1,-100.182397719
131,83.0193914755,24.8674591795,4,-95.0561454791,5,-102.710056953
132,48.8291696138,20.9966628336,1,-91.2168672802,2,-103.90638499
133,43.1732800847,4.18550103597,1,-101.417576868,0,-103.148415115
134,60.9086134566,4.52773054759,2,-98.3986809301,1,-101.581321759
135,62.3263865965,0.751989069882,2,-99.5910483437,3,-101.353395645
136,92.614501062,20.3105775326,5,-96.9751023328,4,-97.8714218892
137,54.2061162792,8.25526035543,1,-98.004230181,2,-101.038997524
138,66.6145231844,13.7984490549,2,-90.4659435529,3,-100.297189637
139,97.8649978934,3.42369467691,5,-101.422873141,3,-103.166014491
140,35.3835422433,23.9291717483,0,-101.496755116,1,-101.886619931
141,65.8298734427,23.4662673309,2,-99.6708291444,1,-101.103482909
142,52.1011059604,17.882486878,1,-81.0345567204,2,-102.377178562
143,66.4749723069,6.21285322756,2,-93.8249340057,3,-98.7133640295
144,56.6070150116,19.3967808315,1,-93.3515111958,2,-100.900261096
145,52.5627867496,12.9581594836,1,-93.0367642229,2,-101.698513715
146,7.57919754826,16.9142698053,0,-102.045288485,1,-108.788763649
147,18.2259069505,22.2181126587,0,-99.2393326431,1,-106.805867922
148,35.264007857,17.3842616635,0,-99.3671783898,1,-101.471936995
149,48.9462489798,13.8639971819,1,-92.553133157,2,-103.16634561
150,45.8553378704,8.16685827983,1,-98.8197421127,0,-103.659131019
151,79.3182570451,7.46822388226,3,-88.3461201623,2,-98.5158930739
152,71.0933316421,14.7340560249,2,-91.1723851037,3,-98.866851669
153,42.4452366924,11.1560299972,1,-98.8229339478,0,-102.284020293
154,25.3919105682,20.9261598193,0,-97.1657651829,1,-105.00992804
155,58.953841367,7.60313034975,2,-98.534172402,1,-99.7445400353
156,28.0429309416,9.55262997424,0,-91.9015960061,1,-104.621308608
157,68.4927446312,23.2664610465,2,-99.2964181311,4,-101.077785908
158,56.212092783,20.7772708568,1,-93.5911668203,2,-101.424998421
159,26.5736462028,7.96276674625,0,-92.1980979835,1,-105.172377472
160,52.2703923466,10.9128200502,1,-95.4220580123,2,-101.789276694
161,89.566619584,4.70863235927,3,-99.2860267517,4,-100.885453089
162,11.0797310431,13.2553934934,0,-100.059852994,1,-108.225909529
163,21.1390387238,12.060526855,0,-89.6605307428,1,-106.209379811
164,35.0271326872,19.0681305586,0,-99.743162194,1,-101.590355172
165,65.321273216,9.87586764071,2,-91.3733637232,3,-99.8797334124
166,9.32342986847,5.67416749775,0,-101.529608318,1,-108.788759011
167,84.3022072808,17.6569909483,4,-83.6574379593,3,-100.395000193
168,9.21450879383,24.5584810067,0,-102.911788961,1,-108.596166407
169,101.827710992,23.4464731136,5,-91.812266158,4,-102.881107437
170,34.5990964328,5.13444803599,0,-99.4548131186,1,-103.441678437
171,60.638486677,13.6629770957,2,-97.0559630906,1,-98.0436660314
172,31.6299009056,20.5010808369,0,-98.7607046972,1,-103.013737946
173,67.4801766571,25.6329237367,2,-100.654289295,4,-101.914328953
174,41.8883643718,3.20667045557,1,-102.076916667,0,-102.868178803
175,98.194452133,20.0860085363,5,-89.7022168583,4,-101.091590759
176,103.294305218,12.6631020103,5,-95.0707069107,4,-103.402489843
177,4.79536492757,6.2335601684,0,-103.169766193,1,-109.46331906
178,90.3839525637,9.96895283381,4,-98.6527729404,3,-100.195325855
179,21.3542882816,17.3638966211,0,-94.3976727148,1,-106.02177814
180,103.773546046,22.4411493188,5,-91.431781553,4,-103.474424702
181,18.6508053402,7.77207615419,0,-95.4258498167,1,-106.9902204
182,50.5640381038,25.3653502769,1,-95.7756993333,2,-104.161788829
183,19.9284984589,17.8147947389,0,-95.6635760419,1,-106.360166312
184,62.8795308833,18.7081379921,2,-97.7579499362,1,-98.9332339082
185,65.2473163057,22.5456458011,2,-99.2493550449,1,-100.682552801
186,6.5568101096,24.2821447653,0,-103.605584954,1,-109.027697098
187,69.0092793709,15.5979389043,2,-91.8319291879,3,-100.032139331
188,35.472447576,17.281814338,0,-99.4527255955,1,-101.378768743
189,96.778621723,10.5515701538,5,-97.7156240883,4,-101.274678677
190,23.1532899962,14.95457507,0,-89.6134486927,1,-105.609198201
191,98.435603246,3.99645096149,5,-101.1079534,3,-103.351363823
192,6.3274088872,8.83075535709,0,-102.378767808,1,-109.140605684
193,36.2814862852,18.8468682224,0,-100.268680715,1,-101.002919759
194,36.0630658857,11.8872016501,0,-99.0783730436,1,-101.628005974
195,84.3500694159,10.6615309682,4,-95.9023515573,3,-96.8133392962
196,14.6973198252,18.8840386596,0,-99.2055837422,1,-107.489431746
197,3.68309555331,19.4550259752,0,-103.72258866,1,-109.414754975
198,38.1695214923,25.0945301999,1,-100.944281626,0,-102.658451303
199,4.05665339252,18.1176315094,0,-103.459186411,1,-109.353598473
200,80.8676359654,14.1058780878,4,-92.0960294762,3,-97.4074890111
201,42.4067389696,8.39681703717,1,-99.95192814,0,-102.402777394
